                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0167,                 3.7306,                  1.038,                0.00683,                      1,                0.05282,                0.04187,                 0.8216,                 3.6283,                0.90076,             0.00024293,             0.00024293,             0.00024293
                      2,                0.92057,                 2.6819,                0.91443,                0.00651,                      1,                0.36306,                0.26415,                0.81731,                 3.1131,                0.85201,             0.00047539,             0.00047539,             0.00047539
                      3,                0.90421,                 1.5583,                 0.9169,                0.93914,                0.30337,                0.84945,                0.62782,                0.88305,                 2.3248,                0.90339,             0.00068239,             0.00068239,             0.00068239
                      4,                0.89432,                 1.3754,                0.93658,                0.90315,                0.60635,                 0.9024,                0.66846,                0.86889,                 1.9724,                0.89844,             0.00086392,             0.00086392,             0.00086392
                      5,                0.91785,                 1.3446,                0.97482,                0.91963,                 0.7364,                  0.937,                0.69019,                0.85387,                 1.7149,                0.91437,                0.00102,                0.00102,                0.00102
                      6,                0.95206,                 1.2374,                0.95134,                 0.9311,                 0.8662,                0.95994,                 0.7112,                0.82782,                 1.4356,                0.91603,              0.0010753,              0.0010753,              0.0010753
                      7,                0.89571,                  1.134,                0.95609,                  0.862,                 0.8869,                0.96802,                0.71069,                0.81893,                 1.2188,                0.93091,              0.0010753,              0.0010753,              0.0010753
                      8,                0.92881,                 1.1536,                0.95455,                  0.888,                0.81529,                0.98306,                0.75323,                0.77696,                  1.111,                0.92247,              0.0010046,              0.0010046,              0.0010046
                      9,                0.84079,                 1.0595,                0.94952,                 0.9797,                0.94546,                0.98735,                0.79338,                0.75117,                0.87261,                0.90251,             0.00093385,             0.00093385,             0.00093385
                     10,                0.84614,                0.99964,                 0.9586,                0.95519,                0.95462,                0.98678,                0.79365,                0.75951,                0.93388,                0.89981,             0.00086312,             0.00086312,             0.00086312
                     11,                 0.9143,                 1.3669,                0.98641,                0.95807,                0.98958,                0.99026,                0.79002,                0.76694,                 0.9425,                 0.9181,             0.00079238,             0.00079238,             0.00079238
                     12,                0.83584,                 1.1981,                0.95554,                0.96647,                0.96066,                0.98607,                0.78666,                0.74541,                0.89803,                0.91403,             0.00072164,             0.00072164,             0.00072164
                     13,                0.89756,                 1.2592,                0.95364,                0.96398,                0.96003,                0.98541,                0.78239,                0.73944,                0.90956,                 0.9141,             0.00065091,             0.00065091,             0.00065091
                     14,                0.79458,                  1.108,                0.93342,                0.97975,                0.96788,                0.98621,                0.78963,                0.72836,                0.87408,                0.91231,             0.00058017,             0.00058017,             0.00058017
                     15,                0.78474,                 1.0948,                 0.9318,                0.97828,                0.98958,                0.99127,                0.79966,                0.69668,                0.85103,                0.89515,             0.00050944,             0.00050944,             0.00050944
                     16,                0.73717,                 1.0716,                0.91124,                0.98225,                0.98958,                0.98503,                0.79456,                0.68383,                0.84135,                0.88267,              0.0004387,              0.0004387,              0.0004387
                     17,                0.74283,                   1.08,                0.91901,                  0.986,                0.98958,                 0.9882,                0.78172,                0.71771,                0.82625,                0.89005,             0.00036797,             0.00036797,             0.00036797
                     18,                0.77065,                 1.0623,                0.94694,                0.98688,                0.98958,                0.98802,                0.77168,                0.72749,                0.80572,                0.89459,             0.00029723,             0.00029723,             0.00029723
                     19,                0.76764,                 1.0406,                0.90346,                0.99461,                0.98852,                  0.989,                0.80278,                0.68054,                0.76505,                0.88122,              0.0002265,              0.0002265,              0.0002265
                     20,                0.70395,                0.97503,                0.89253,                0.99669,                0.98936,                 0.9886,                 0.8121,                0.65738,                0.75794,                0.87541,             0.00015576,             0.00015576,             0.00015576
